jelentkezesi_hatarido,allas_megnevezese,kozzetevo,munkavegzes_helye,tipus,jelentkezes_statusza,id,van_e_vesszo
2017-11-24,területi védőnő,Konyár Község Önkormányzata,"Hajdú-Bihar megye
                             , Konyár",Közalkalmazott,,tsmb2qsxd6,1
2017-11-24,intézményvezető,Zalaegerszeg Megyei Jogú Város Önkormányzata,"Zala megye
                             , Zalaegerszeg",Közalkalmazott,,ts3c3wknd0,1
2017-11-24,általános igazgatási ügyintéző,Szabadbattyáni Polgármesteri Hivatal,"Fejér megye
                             , Szabadbattyán",Köztisztviselő,,ts3e6ukxc8,1
2017-11-24,Védőnő,Magyarmecske Község Önkormányzata,"Baranya megye
                             , Magyarmecske",Közalkalmazott,,ts3f4wd5h5,1
2017-11-24,pénzügyi referens,Észak-Pesti Tankerületi Központ,"Budapest, Budapest",Köztisztviselő,,ts3g4og5a8,1
2017-11-24,igazgatási ügyintéző/ igazgatási szakügyintéző,,"Pest megye
                             , Budapest",Köztisztviselő,,ts7d6usbf8,1
2017-11-24,területi védőnő,Tápiógyörgye Községi Önkormányzat,"Pest megye
                             , Tápiógyörgye",Közalkalmazott,,ts7e4zjni1,1
2017-11-24,könyvtáros,Tápiógyörgye Községi Önkormányzat,"Pest megye
                             , Tápiógyörgye",Közalkalmazott,,ts7e0wf7j2,1
2017-11-24,ügyvivő szakértő,Szegedi Tudományegyetem Fogorvostudományi Kar,"Csongrád megye
                             , Szeged",Közalkalmazott,,ts7f2olmi1,1
2017-11-24,ügyvivő szakértő,Szegedi Tudományegyetem Fogorvostudományi Kar,"Csongrád megye
                             , Szeged",Közalkalmazott,,ts7f1qsya0,1
2017-11-24,óvodapedagógus,Kisvaszari Napovi és Főzőkonyha,"Baranya megye
                             , Kisvaszar",Közalkalmazott,,ts7g7osnc1,1
2017-11-24,pénzügyi -számviteli referens,Gyulai Tankerületi Központ,"Békés megye
                             , Gyula",Köztisztviselő,,ts7g1ohcf2,1
2017-11-24,védőnő,Budakalász Város Önkormányzata,"Pest megye
                             , Budakalász",Közalkalmazott,,ts7h9thbd9,1
2017-11-24,"tanító, napközis nevelő",Külső-Pesti Tankerületi Központ,"Nem_megadott , Nem_megadott",Közalkalmazott,,ts7h3if7a8,1
